,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agora Level,American Amicable,,,,,,,,,,,,,,,,,F&G,,Foresters,,,,,,,NLG,,North American,,Transamerica,,,Assurity,,,Mutual of Omaha,,,,,,,,,,,,,,,,,,,,Lincoln Financial Group,,,,Liberty Bankers,,,AIG,
,Senior Choice,,Easy Term,,Express UL,,Home Protector,,Secure Life Plus,,,Term Made Simple,,Security Protector,,Survivior Protector,,Pathsetter,,Strong Foundation,Smart UL,BrightFuture JWL,Advantage Plus 100 0-65,,PlanRight,,Indexed/Fixed Universal Life,,Term/ Builder +3 IUL(A),,Trendsetter LB,Immediate Solutions,,20/30Yr Term,Whole Life ,Single Premium WL,Term Life Express,,Term Life Answers,,Living Promise,,CWL,,IULE,,Guaranteed ADvantage,,Income Advantage/ Life Protection Advantage/ IUL,,Accum UL Answers,,Critical Advantage,,Disability Income,,WealthAccelerate IUL,WealthBuilder IUL,"TermAccelerator 
20&30","TermAccelerator 
20&30",SIMPL Preferred,SIMPL Standard,,"Gauranteed Issue 
Whole Life",
,Commission,Schedule,Commission,Schedule,Commission,Schedule,Commission,Schedule,0-60,61-80,Schedule,Commission,Schedule,Commission,Schedule,Commission,Schedule,Commission,Schedule,Commission,Commission,Commission,Commission,Schedule,Commission,Schedule,Commission,Schedule,Commission,Schedule,Commission,Commission,Schedule,Commission,Commission,Commission,Commission,Schedule,Commission,Schedule,Commission,Schedule,Commission,Schedule,Commission,Schedule,Commission,Schedule,Commission,Schedule,Commission,Schedule,Commission,Schedule,Commission,Schedule,Commission,Commission,Commission,Bonus,Commission,Commission,Schedule,Commission,Schedule
130 Division Executive,120%,FC07,105%,EZ11,105%,EB10,130%,HN13,135%,115%,SU08,110%,T108,100%,AD10,130%,SV16,115%,L3,130%,105%,100%,100%,MGA3,125%,PLRMGA2,100%,GAJ,115%,GA110,105%,115%,60,115.00%,105.00%,12.00%,130%,W16,110%,T97,120%,L71,95%,DU2,115%,UN5,90%,JH1,115%,SK4,100%,D52,65%,NV3,60%,TV4,100%,95%,100%,10%,120%,115%,CD,75%,K
125 Regional Executive,115%,FC08,100%,EZ12,100%,UB11,125%,HN14,130%,110%,SU09,105%,T109,95%,AD11,125%,SV17,110%,L4,125%,100%,95%,95%,MGA2,120%,PLRGA2,95%,GAI,110%,GA105,102%,110%,50,110.00%,90.00%,11.00%,125%,W60,105%,W65,115%,L72,90%,DU4,110%,UN6,85%,JH2,110%,SK5,95%,D53,60%,NV4,55%,TV5,95%,75%,100%,5%,115%,110%,CE,65%,M
120 Executive Advisor,110%,FC09,95%,EZ13,95%,UB12,120%,HN15,125%,105%,SU10,100%,T110,90%,AD12,120%,SV18,105%,L5,120%,95%,90%,90%,MGA1,115%,PLRGA1,90%,GAH,105%,GA100,100%,105%,40,102.00%,85.00%,10.50%,120%,W15,100%,T96,110%,L73,85%,DU5,105%,UN7,85%,JH2,105%,SK6,90%,D54,60%,NV4,55%,TV5,90%,70%,100%,,110%,105%,CF,65%,M
115 Agency Director,105%,FC10,90%,EZ14,90%,EB13,115%,HN16,120%,100%,SU11,95%,T111,85%,AD13,115%,SV19,100%,LE,115%,90%,85%,85%,GA3,110%,PLRAGT12,85%,GAG,100%,GA95,95%,100%,35,95.00%,80.00%,10.00%,115%,W59,95%,W64,105%,L74,80%,DU6,100%,UN8,85%,JH2,100%,SK7,85%,D55,55%,NV5,55%,TV5,85%,65%,95%,,105%,100%,CG,60%,N
110 Regional Director,100%,FC11,85%,EZ15,85%,EB14,110%,HN17,115%,95%,SU12,90%,T112,80%,AD14,110%,SV20,95%,L6,110%,87.50%,80%,80%,GA2,105%,PLRAGT11,80%,GAF,95%,WA90,92%,95%,30,95.00%,80.00%,10.00%,110%,W14,90%,T95,100%,L75,75%,DU7,95%,UN9,80%,JH3,95%,SK8,80%,D56,55%,NV5,55%,TV5,80%,60%,90%,,100%,95%,CH,60%,N
105 Advisor Specialist,95%,FC12,80%,EZ16,80%,EB15,105%,HN18,110%,90%,SU13,85%,T113,75%,AD15,105%,SV21,90%,L7,105%,85%,75%,75%,GA1,100%,PLRAGT10,75%,GAE,90%,WA85,90%,90%,25,85.00%,78.00%,9.75%,105%,W58,85%,W63,95%,L76,70%,DU8,90%,UP1,80%,JH3,90%,SK9,75%,D57,50%,NV6,55%,TV5,75%,55%,85%,,95%,90%,CI,55%,P
100 Assurance Broker,90%,FC13,75%,EZ17,75%,EB16,100%,HN19,105%,85%,SU14,80%,T114,70%,AD16,100%,SV22,85%,L8,100%,80%,75%,75%,Agent10,95%,PLRAGT9,70%,GAD,85%,WA80,85%,85%,20,80.00%,76.00%,9.75%,100%,W13,80%,T94,90%,L77,65%,DU9,85%,UP2,80%,JH3,85%,SL1,70%,D58,50%,NV6,55%,TV5,70%,50%,80%,,90%,85%,CJ,50%,Q
95 Regional Liaison,85%,FC14,70%,EZ18,70%,EB17,95%,HN20,100%,80%,SU15,75%,T115,65%,AD17,95%,SV23,80%,LL,95%,77.50%,70%,70%,Agent9,90%,PLRAGT8,65%,GAP,80%,WA75,80%,80%,16,75.00%,74.00%,9.50%,95%,W57,75%,W62,86%,L78,60%,DV1,80%,UP3,75%,JH4,80%,SL2,65%,D59,45%,NV7,50%,TV6,65%,45%,75%,,85%,80%,CK,45%,T
90 Assurance Advisor,80%,FC15,65%,EZ19,65%,EB18,90%,HN21,95%,75%,SU16,70%,T116,60%,AD18,90%,SV24,75%,LM,90%,75%,65%,65%,Agent8,85%,PLRAGT7,60%,GAC,75%,WA70,75%,75%,15,70.00%,72.00%,9.50%,90%,W12,70%,T93,82%,L79,55%,DV2,75%,UP4,75%,JH4,75%,SL3,60%,D60,45%,NV7,50%,TV6,60%,40%,70%,,80%,75%,CL,45%,T
